_id,code,DISTRICT/CITY,SL. NO.,TESTING CENTER NAME,LOCATION,ADDRESS,CONTACT,EMBED LINK,TEST,TYPE,LATITUDES,LONGITUDES
1,adl,ADILABAD,3,UPHC Khurishid Nagar,https://goo.gl/maps/9nXTEv2x1AsH6fXXA,"Shanti Nagar, Adilabad, Telangana 504001",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d30057.530084112717!2d78.51800833955079!3d19.661844!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bd25d101ac6646b%3A0xd72c641f5e575fad!2sGandi%20Hospital!5e0!3m2!1sen!2sin!4v1598676244126!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.661844,78.5180083
2,adl,ADILABAD,5,UPHC Shantinagar,https://goo.gl/maps/32LF5h96Wxw1Tsb9A,"Shanti Nagar, Adilabad, Telangana 504001",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15028.765042056359!2d78.52676306977536!3d19.661844!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bd25d101ac6646b%3A0xd72c641f5e575fad!2sGandi%20Hospital!5e0!3m2!1sen!2sin!4v1598677167836!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.661844,78.5267631
3,adl,ADILABAD,6,PHC Ankoli,https://goo.gl/maps/TCoKqoEmcdmc6fSh7,"Ankoli, Telangana 504001",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3758.472942590517!2d78.57000091394953!3d19.60706838678547!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x2f0bdc2af68bfa7f!2sPHC%20Primary%20Health%20Centre%2C%20Ankoli!5e0!3m2!1sen!2sin!4v1598687404264!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.6070684,78.5700009
4,adl,ADILABAD,7,PHC Bazarhathnoor,https://goo.gl/maps/mE8FLhiVSkMAzFeg8,"Bazarhathnoor, Adilabad, Telangana 504001",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4346.368789913174!2d78.34824544350754!3d19.458107436700686!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x299819f2a5b0f094!2sGovt%20Hospital!5e0!3m2!1sen!2sin!4v1598680945075!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.4581074,78.3482454
5,adl,ADILABAD,8,PHC Bela,https://goo.gl/maps/P4chSdwQDbpyAAmZ8,"Bela, Telangana 504309",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2366.0576381836304!2d78.77302655750938!3d19.71763539194892!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bd2f1145307895d%3A0x2a6e6ac886e1a461!2sGOVT%20HOSPITAL%20BELA!5e0!3m2!1sen!2sin!4v1598681312887!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.7176354,78.7730266
6,adl,ADILABAD,10,PHC Bheempur T,https://goo.gl/maps/FmpJaxexZxwRrdo2A,"Narnoor, Telangana 504311",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d143130.8740337036!2d78.83577284886518!3d19.49024602999006!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x7914212562d6c2c8!2sGovernment%20Hospital%20Of%20Narnoor!5e0!3m2!1sen!2sin!4v1598687980973!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.490246,78.8357728
7,adl,ADILABAD,11,PHC Sonala,https://goo.gl/maps/rP8WNBLKwH9R5cVL8,"Sonala, Telangana 504304",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3352.354711789046!2d78.3157582625672!3d19.417118849434168!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x3114e5242cc07557!2sGovt%20Hospital%20Sonala!5e0!3m2!1sen!2sin!4v1598688149774!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.4171188,78.3157583
8,adl,ADILABAD,12,PHC Gadiguda,https://goo.gl/maps/jBeBHJLBEqhtxVUU9,"Gadiguda, Telangana 504346",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d29210.57918110245!2d78.89766332499839!3d19.613856962462343!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xd3f942bc717e7fd0!2sgovt%20hospital!5e0!3m2!1sen!2sin!4v1598688303741!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.613857,78.8976633
9,adl,ADILABAD,14,PHC Gudihathnoor,https://goo.gl/maps/owmeZFyXHbaww5nH8,"primary helth centre, Mavala, Telangana 504001",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d240444.40171663754!2d78.40457381589695!3d19.67240390624244!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x9bf72d03245d111f!2sPHC%20Mavala!5e0!3m2!1sen!2sin!4v1598765989699!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.6724039,78.4045738
10,adl,ADILABAD,15,PHC Ichoda,https://goo.gl/maps/EvACbEAuxwC8DosS9,"Ichoda, Telangana 504307",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d25313.648708663648!2d78.44902995089308!3d19.416881985110766!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xd1ee4face2ddb5e5!2sGovt%20Hospital!5e0!3m2!1sen!2sin!4v1598766148212!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.416882,78.44903
11,adl,ADILABAD,16,PHC Narsapur,https://goo.gl/maps/P5kddX5t93piosHz7," ASRR Nagar, Naspur, Mancherial, Telangana 504302, India",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7551.238337409637!2d79.48288453488772!3d18.8595937!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a32c9eb11c8991f%3A0xc00fb08d61ad34e0!2sGovernment%20Phc%20Naspur!5e0!3m2!1sen!2sus!4v1598686293984!5m2!1sen!2sus"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,18.8595937,79.4828845
12,adl,ADILABAD,17,PHC Indervelly,https://goo.gl/maps/1SNrQXszbeDkyG7WA,"Indervelly, Telangana 504346",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4472.783970005245!2d78.66875829359248!3d19.49226707952452!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xcff6b210988da042!2sGovt.%20Hospital%20Indravelly!5e0!3m2!1sen!2sin!4v1598766292248!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.4922671,78.6687583
